part_name,date,demand,lead_time
Battery Pack,2021-01-01,525,14
Battery Pack,2021-01-02,476,10
Battery Pack,2021-01-03,528,16
Battery Pack,2021-01-04,613,15
Battery Pack,2021-01-05,536,16
Battery Pack,2021-01-06,544,8
Battery Pack,2021-01-07,642,18
Battery Pack,2021-01-08,606,14
Battery Pack,2021-01-09,517,16
Battery Pack,2021-01-10,569,12
Battery Pack,2021-01-11,547,15
Battery Pack,2021-01-12,544,12
Battery Pack,2021-01-13,574,13
Battery Pack,2021-01-14,461,18
Battery Pack,2021-01-15,463,14
Battery Pack,2021-01-16,483,14
Battery Pack,2021-01-17,453,16
Battery Pack,2021-01-18,542,15
Battery Pack,2021-01-19,474,14
Battery Pack,2021-01-20,444,15
Battery Pack,2021-01-21,584,19
Battery Pack,2021-01-22,497,14
Battery Pack,2021-01-23,481,14
Battery Pack,2021-01-24,408,16
Battery Pack,2021-01-25,486,16
Battery Pack,2021-01-26,525,16
Battery Pack,2021-01-27,469,15
Battery Pack,2021-01-28,555,12
Battery Pack,2021-01-29,517,17
Battery Pack,2021-01-30,515,12
Battery Pack,2021-01-31,511,15
Battery Pack,2021-02-01,677,12
Battery Pack,2021-02-02,596,14
Battery Pack,2021-02-03,555,15
Battery Pack,2021-02-04,660,15
Battery Pack,2021-02-05,567,15
Battery Pack,2021-02-06,616,17
Battery Pack,2021-02-07,513,15
Battery Pack,2021-02-08,577,14
Battery Pack,2021-02-09,655,16
Battery Pack,2021-02-10,681,16
Battery Pack,2021-02-11,650,12
Battery Pack,2021-02-12,631,15
Battery Pack,2021-02-13,585,15
Battery Pack,2021-02-14,519,13
Battery Pack,2021-02-15,579,17
Battery Pack,2021-02-16,583,14
Battery Pack,2021-02-17,651,14
Battery Pack,2021-02-18,607,14
Battery Pack,2021-02-19,495,14
Battery Pack,2021-02-20,564,12
Battery Pack,2021-02-21,525,11
Battery Pack,2021-02-22,538,17
Battery Pack,2021-02-23,603,12
Battery Pack,2021-02-24,626,12
Battery Pack,2021-02-25,625,10
Battery Pack,2021-02-26,543,13
Battery Pack,2021-02-27,547,11
Battery Pack,2021-02-28,589,17
Battery Pack,2021-03-01,661,16
Battery Pack,2021-03-02,600,13
Battery Pack,2021-03-03,626,19
Battery Pack,2021-03-04,592,16
Battery Pack,2021-03-05,598,13
Battery Pack,2021-03-06,679,9
Battery Pack,2021-03-07,715,19
Battery Pack,2021-03-08,680,11
Battery Pack,2021-03-09,740,11
Battery Pack,2021-03-10,711,16
Battery Pack,2021-03-11,661,19
Battery Pack,2021-03-12,710,17
Battery Pack,2021-03-13,736,15
Battery Pack,2021-03-14,652,15
Battery Pack,2021-03-15,756,16
Battery Pack,2021-03-16,538,16
